image_number,sheet_url,label_url
40733, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a224244594d900265259f2f, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61c4d7a04c000e8d8603
38255, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223f346c613b02792549a1, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61c5e08e9b000d9ba912
37896, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223e916c613b0277255974, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61c6e08e9b000d9ba916
39877, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22415a6c613b0279254a67, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61c7e08e9b000e9b36cf
39460, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a224058594d90026425a81c, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61c7d7a04c000d8d1dde
40251, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2241cc6c613b0279254a94, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61c7d7a04c000e8d860a
42123, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22447b6c613b027a254f6a, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61c8e08e9b000d9ba919
39806, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22411db83f690265bf35c2, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61c9e08e9b000d9ba91c
42085, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2244496c613b0277255bc7, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61cae08e9b000e9b36d5
40676, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2241fd6c613b0277255ad5, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61cbd7a04c000d8d1de2
38085, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223ee3b83f690265bf34ed, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61cbe08e9b000e9b36db
41331, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22433d594d90026425a93b, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61cce08e9b000d9ba921
41252, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22432b594d90026425a92b, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61ccd7a04c00108d0900
43032, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22452d9ad5a10270ed167c, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61cdd7a04c000f8d296f
41943, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2243ba9ad5a1026fecea77, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61cee08e9b000d9ba92a
41571, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22438c9ad5a10272ed0023, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61d0e08e9b000e9b36e2
39819, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2241229ad5a10272ecff1a, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61d0e08e9b000e9b36e5
39301, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a224029594d90026325a392, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61d0d7a04c000d8d1de9
38726, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223f85b83f690267bf2cc3, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61d0e08e9b000d9ba930
41176, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2242ff594d90026425a915, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61d2e08e9b00109b0ac0
41385, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a224364b83f690265bf3694, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61d3e08e9b000f9b1a2c
40786, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a22425db83f690264bf4658, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61d3d7a04c000e8d8616
43074, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223b3b594d90026425a69b, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61d4e08e9b000e9b36ec
40170, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2241a5594d90026625bab9, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61d4e08e9b000d9ba93d
38471, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a221b43594d9002652595ae, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61d5e08e9b00109b0ac4
38353, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a221ac0594d900263259a4a, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61d6e08e9b000f9b1a31
38773, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a221d23594d900264259f07, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61d6e08e9b000f9b1a34
42832, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223a0c594d90026425a63a, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61d8e08e9b000d9ba94a
41104, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a222e876c613b0278254f03, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61d8e08e9b000d9ba94d
41868, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2234c7b83f690266bf2e25, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61d8e08e9b000f9b1a3a
40847, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a222cf79ad5a10270ed0eb5, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61d9d7a04c000f8d297a
40387, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2229996c613b02772553bc, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61dae08e9b00109b0acd
37900, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2217159ad5a10270ed08f3, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61dcd7a04c00108d0909
41588, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223265b83f690266bf2d7c, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61dde08e9b000e9b36fc
40548, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a222aa4b83f690265bf2f8f, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61dde08e9b000d9ba95f
41120, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a222ec6594d9002652599da, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61dde08e9b000e9b36ff
43051, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a223b2f594d90026625b85f, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61dde08e9b000d9ba963
39168, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a221fe3594d9002652596c8, https://files.osf.io/v1/resources/befgz/providers/osfstorage/5a2b61dfe08e9b00109b0ad4
